Review,Sentiment,Sentiment Score,Main Issue,Issue Score
Any Crowes fan must have a copy of this!! I have both VHS and DVD!!! Kind of funny seeing the boys back in the day.,Positive,0.985,Product Quality Issue,0.286
"I had a hard time putting the arcade up. I was not pleased with the product, because 3 people was trying to put the game",Negative,0.977,Customer Service Issue,0.61
"The story's setting takes place in mideavltimes when king Arthur was king. The main charters are king Arthur,Guenever,Ga",Positive,0.681,Performance Issue,0.239
I am not referring to the CD but the review by Herbert S. Philbrick. This guy has heard one track on a radio program and,Positive,0.739,Product Quality Issue,0.236
"If you must hear Bette doing standards go see the movie For The Boys and buy the soundtrack, but this cd is just in bad ",Negative,0.984,Performance Issue,0.247
the title cut is still a Bumping track that will throw your head out of wack in a good way. who took the funk is a bange,Positive,0.989,Performance Issue,0.245
The rules were interpreted - the initial game played. Will probably never play again. You are crossing arms with your op,Negative,0.982,Performance Issue,0.284
"It's been years since I had a hand-vac, so I spent a lot of time researching the ones available. I decided on this one a",Negative,0.986,Performance Issue,0.298
Loved it. The characters are evolving with each book and I am really beginning to care what happens to them.,Positive,0.988,Battery Issue,0.213
"I love these things, if only I'd stop dropping them because they are hard to find. They are the only needle threaders th",Positive,0.982,Product Quality Issue,0.255
"It's so nice to have ""eggs"" available whenever you need them. I like to spontaneously bake things, and in the past have ",Positive,0.987,Customer Service Issue,0.234
"Being desperate for ideas as to what to make my 13 year old son who is on a Candida Diet, I thought I had found a gold m",Negative,0.97,Delivery Problem,0.266
I ordered a book on March 14 for a birthday present. Today is April 16 and I still have not received the book. I have co,Negative,0.987,Delivery Problem,0.426
Good for value!!Its been a month to using it.It works well-Goood!!but it takes time to heat up.,Positive,0.985,Performance Issue,0.324
"This tub was such a disappointment. First, it is VERY difficult to use with an infant. My daughter continued to slide do",Negative,0.988,Performance Issue,0.262
I found this book to be a waste of time and money. The main focus of the book seemed to be how inadequate the Snubby is ,Negative,0.986,Performance Issue,0.196
This review is mainly to warn all of the poor video quality I experenced with the VHS tape by the studio: 'Diamond Enter,Negative,0.986,Product Quality Issue,0.551
"Prospective buyers, beware!I did a lot of research, and finally settled on the Creative Zen Vision:M. I was certainly im",Positive,0.965,Customer Service Issue,0.45
Although the concept of this book is a great idea I just couldn't get into all that much. It got boring and monotonous q,Negative,0.986,Battery Issue,0.222
"With the caliber of musicians playing on this album, I expected a hard hitting original. Instead we get re-arranged cove",Negative,0.763,Product Quality Issue,0.323
I have tried making my way through this book many times. But I cannot get past the author's incessesant penchant for the,Negative,0.987,Battery Issue,0.208
"Gee, this is my first negative review for Chris Rea. Why? Well I expect it is because this cd moved away from what one m",Positive,0.847,Performance Issue,0.219
"GOOD FOR THE PRICE.IT IS NICE AND USEFUL ESPECIALLY THE BIG BOWL.THE SMALLER ONES ARE O.K ,IT COULD HAVE BEEN A BIT BIGG",Positive,0.99,Pricing Issue,0.718
Arrived non-functional. Called Motorola who offered to exchange it but they never followed through on sending me return ,Negative,0.983,Delivery Problem,0.473
"I have seen many craft magazines come and go. I hope this one goes. Granted, there is no commercial advertising in it, b",Negative,0.977,Delivery Problem,0.365
"Very disappointing video. The hostess was pleasant, but the content was useless. One of the tricks was to go fetch. How ",Negative,0.987,Performance Issue,0.282
"The funniest pairing was that of the hot young woman with the wrinkly old man. Now THAT had some mileage, but unfortunat",Negative,0.977,Performance Issue,0.304
"Please don't buy these headphones if you are expecting to get a lot of bang for your buck. They cost very little, and th",Negative,0.987,Pricing Issue,0.471
love amazon diaper deal! Huggies are the best and I can afford them when I buy them on here!!!!!!!!!! They are great for,Positive,0.991,Pricing Issue,0.427
"I'd been meaning to read this book for a long time, and I realize that it's considered a ""classic"", so I was surprised a",Negative,0.945,Pricing Issue,0.241
This is either a case of sloppy copyediting or rushing in production. The DVDs do not contain the episodes as listed on ,Negative,0.986,Product Quality Issue,0.42
"In addition to the Bible , the four basic key aids for study are a bible atlas, bible dictionary, concordance, and last ",Positive,0.99,Product Quality Issue,0.244
"This is a fascinating look at the story of a Canadian sailor, John MacLennon, who enters deeply into the life of the Chu",Positive,0.982,Performance Issue,0.221
"these glasses seemed fine at first and I actually liked them a lot, but after 3 months they have developed some strange ",Negative,0.954,Pricing Issue,0.244
"Her currently single ""Say How I Feel"" is absolutely nothing like her album.Her album is garbage in my opinion. She doesn",Negative,0.987,Pricing Issue,0.265
"I have payed an additional $4 in order to get a 24 hours delivery, and it has been more than 26 hours and it still didn'",Negative,0.93,Delivery Problem,0.495
This is great for making smoothies in the a.m. I haven't had any problems with it - I use frozen fruit and juice and it ,Positive,0.991,Product Quality Issue,0.305
This is my second DVD recorder (the first was a Cyberhome).Many people complain about the Icon system and settings layou,Positive,0.969,Product Quality Issue,0.293
This is quite possibly the most insane game you will ever play on any game console. Use your buckets to catch the bombs.,Negative,0.877,Performance Issue,0.251
"Well, i was so excited when i got the package. inserted the installation disk and i was prompted that installation was b",Negative,0.986,Delivery Problem,0.472
This game rules. It's a lot of fun. I'm so bad at it I can't even beat the game on easy and i still love it. Skirmishs a,Positive,0.987,Product Quality Issue,0.216
"great story! the characters had great, rich personalities. the only problem with this book was the way it was told. ""but",Positive,0.989,Product Quality Issue,0.229
Great product for people that don't want to haul a compressor around in order to use a nailer. Make sure you have a good,Positive,0.989,Product Quality Issue,0.315
I saw that the average rating for this book was 4 and a half stars and I had to write a review. This is the best trilogl,Positive,0.989,Product Quality Issue,0.237
The book kept me intrigued from beginning to end. I don't think I would have found this book on any book shelf let alone,Positive,0.979,Performance Issue,0.231
It helps to use the system for people that do not play games on the PS3 because all the buttons are like a standard blue,Positive,0.986,Product Quality Issue,0.286
This book does a wonderful job explaining database systems using Java. I have read many books on the subject and this is,Positive,0.991,Performance Issue,0.201
The characters go through their motions but it just doesn't meet the standards established by other police dramas. For s,Negative,0.98,Performance Issue,0.304
"Too bad the quality of this DVD was so bad. It was loaded with skippps. We are exchanging it, hope the new one is better",Positive,0.938,Product Quality Issue,0.705
Whoever said this band is better than Hatebreed is way off. These herbs don't even come close. Don't waste your money. J,Negative,0.986,Product Quality Issue,0.332
nothing special i would recommend spending more money on the other desk mats this thing is kind of weak looking,Negative,0.986,Product Quality Issue,0.498
"I've used several carbon monoxide alarms from First Alert for the past couple of years. Sadly, I was very dissapointed w",Positive,0.964,Pricing Issue,0.323
"Well done, feel good, and extremely realistic. Sami potrayed the character well. Another great french film.",Positive,0.991,Product Quality Issue,0.305
"I ordered a paperback copy of this book which was supposed to be ""like new"". The book I received was a hardcover copy no",Negative,0.954,Product Quality Issue,0.478
"I eat oat bran cereal almost every morning for breakfast. This was a great deal, and a convenient way to purchase it.",Positive,0.988,Pricing Issue,0.375
"we are addicted to LOST...silly as it is. we were getting the discs on netflix, but season 6 was not out yet. after purc",Negative,0.973,Pricing Issue,0.246
"What a gloriously funny book! Even the recipies were funny, and well, how funny did you think a recipie could be?! I ""di",Positive,0.982,Performance Issue,0.205
If you want Harman Kardon receivers it's ok. Even most of the DVD's. I own a 22 and a 31 and I also got this one which i,Negative,0.979,Product Quality Issue,0.468
"Same problems as everybody else. 14 months after purchase it ate the card. Tried 2 different cards, no dice for either. ",Negative,0.979,Customer Service Issue,0.642
I can be tough on safety glasses so it may be no fault of the mfg but IMO the lenses scuffed and scratched rather quickl,Negative,0.96,Product Quality Issue,0.354
"Love the quick drawing action, works beautifully! Great knife at a great price. Get you one son!",Positive,0.992,Pricing Issue,0.324
I have become a fast fan of Mustela products for my 3 year old who suffers from eczema. This is the first Mustella produ,Negative,0.979,Delivery Problem,0.295
"I would like to recommend Different Flags. It is the story of Ani, a young american woman who feels that her life is goi",Positive,0.985,Performance Issue,0.249
"I feel this book is poorly written. It needed to be proof read before printing. It was, for sure, not worth the $20. The",Negative,0.986,Product Quality Issue,0.48
"I understand that if you are young and in jail, as was Sade, you can dream all kinds of sexual fantasies. The dreams of ",Negative,0.976,Delivery Problem,0.21
"We received these cups (which are very nice heavy metal), and the handle was detached from the largest size. We ordered ",Negative,0.973,Delivery Problem,0.578
"Another WWE stinker!!!! No comments from the ""Brain"" himself, who was one of the funniest men in the history of wrestlin",Negative,0.986,Product Quality Issue,0.405
"A good primer on analysis, moving averages, and cheap vs. expensive. There is a major hole in this book: When is it time",Negative,0.694,Delivery Problem,0.525
"This is jazz guitar period. Even if you are slightly interested in great music that swings, pick this one up quick....be",Positive,0.982,Performance Issue,0.374
i loved this book! im currently on holiday and ive only got the first in the series and im dying to read more of this ma,Positive,0.987,Performance Issue,0.218
"This game is great. I play at Very High detail and High on that other question. The graphics are good, the game has good",Positive,0.988,Product Quality Issue,0.317
"I actually purchased the CD because it was ""Gladys Knight"" and gospel music, but prior to opening it I decided to listen",Negative,0.983,Product Quality Issue,0.351
"Our family love watching ""Friends"" so this game was perfect for our teenagers as a gift for Christmas!Amazon had the ite",Positive,0.99,Product Quality Issue,0.459
"First: Huge thanks to all the reviewers who let us know to order a smaller size than we usually wear. I am a size 8 but,",Positive,0.512,Battery Issue,0.242
Months after Snow Leopard was released I can't use this expensive printer. This response from Dymo support on December 3,Negative,0.983,Customer Service Issue,0.462
"Barbara Sherrod doesn't churn out as many books per annum as some of the other Signet authors, and it shows. Her books a",Positive,0.971,Pricing Issue,0.326
"She's a harpie, a liar, a thief, and a mass murderer of police, soldiers, and children. Anyone who buys this book, or se",Negative,0.948,Delivery Problem,0.234
JK but yeah very helpful in understanding the important basics and biology of what I do every day. I got my money's wort,Positive,0.989,Battery Issue,0.215
"The movie is cute, and the DVD is fine, but I purchased this for the digital copy. Shame on Sony for the deceptive packa",Negative,0.98,Product Quality Issue,0.267
**1/2 The title of the film refers to the walls of the county asylum and to the hero's amnesia. Medical students may fin,Positive,0.822,Pricing Issue,0.243
"An absolute classic, everyone should own this movie.Literal laughs and tears story.",Positive,0.99,Product Quality Issue,0.273
Gave it one star because that's the lowest you can go. This book may be useful if you've never turned on a computer befo,Negative,0.982,Performance Issue,0.245
I bought this blender for X-mas and all went well for about a month until this evening. When I went to turn the blender ,Negative,0.983,Customer Service Issue,0.526
I wanted to point out a few things that weren't clear when I bought these weights:1. Each band is equipped with removabl,Negative,0.748,Delivery Problem,0.254
For a short story fiction book I thought it quite fun and a great little read. This book would be great for a cold raine,Positive,0.988,Battery Issue,0.234
I Played Grand Theft Auto 2 And It Is The Coolest Game Since Pong. The High Definition Levels And The Graphics Make This,Positive,0.98,Product Quality Issue,0.311
"This song is the epitome of how low popular music has landslid, also mirrored by several rap-rock groups. Music at it's ",Negative,0.981,Performance Issue,0.464
I thought this movie was going to be great; The reviews and critics all agreed it was the best movie. And the new direct,Negative,0.968,Performance Issue,0.237
This is a great addition to anyone's Star Wars collection. All episodes were inspired by the films and addtional charact,Positive,0.951,Pricing Issue,0.438
"I have read all of the CWG books, and must say that I did not find anything in there that I had not read or heard before",Positive,0.853,Delivery Problem,0.225
This is a very good read. I was very impressed with the quality of this book. I grew quickly attached to the charcters a,Positive,0.99,Product Quality Issue,0.361
Foyle's War is simply one of the best of the numerous British mystery series produced. As a fan of the genre I feel this,Positive,0.99,Product Quality Issue,0.322
"I ordered the 18 inch chain for a pendant I received from a friend. While it is nice looking, the chain including the cl",Negative,0.959,Delivery Problem,0.369
"I am not a Huge Phil Collins fan but i do like the man, not only as a singer but also as a composer, the guy is a great ",Positive,0.991,Product Quality Issue,0.274
Ran around trying to ground the turntable... thought this thing came with an input for grounding my turntable because so,Negative,0.971,Performance Issue,0.32
I purchased this book so I could use it with my students. They have been using two voices to perform each story. They re,Positive,0.989,Performance Issue,0.372
"This battery was inexpensive and worked really well at first. As other reviewers have mentioned, it's not the exact colo",Negative,0.668,Battery Issue,0.445
The Rach 3 has been my favorite piano concerto since the first time I heard it. (I own 7 different recordings.) I am a p,Negative,0.978,Product Quality Issue,0.246
I'm really disappointed with this video. the song style is like 60s to 80s that tots never understand the wits or anythi,Negative,0.987,Performance Issue,0.294
"I'm a gadgeteer. I play with all kinds of digital and electronics equipment. I'm an amateur radio operator, I write web ",Negative,0.986,Performance Issue,0.6
This is really compact and comes with 3 bags to get you started as well as a plastic carrying bag. We haven't used it ye,Positive,0.99,Performance Issue,0.217
"This is not a book. It is a manual for the code the author has writen.The code is in .p format, not in .m format. So it ",Negative,0.981,Battery Issue,0.189
Anyone who is interested in bamboo will want The Craft & Art of Bamboo by Carol Stangler readily at hand! She looked Nor,Positive,0.988,Pricing Issue,0.401
I got this to store electronics in - it's a pretty good deal. The picture doesn't show that the tackle box comes with a ,Negative,0.921,Pricing Issue,0.303
This book - and Michael Harner - are a horrifically bad joke. A true shaman does NOT teach shamanism to the masses in wo,Negative,0.983,Pricing Issue,0.433
I knew that this movie would kill at the box office. One of the best movies i have seen. I went to see it with my 2 bros,Positive,0.831,Performance Issue,0.278
"Really, they should have a separate scale for Robin McKinley. _The Stone Fey_ is vividly written and illustrated, captur",Positive,0.99,Performance Issue,0.276
"ESTA CALIFICACION ES DEBIDO A QUE EL PAQUETE ESTA RETENIDO, ME INDICA QUE RECHAZAN CARGOS A LA TARJETA, VERIFICANDO MI E",Positive,0.964,Product Quality Issue,0.45
My first littermaid device lasted about 10 years. It was excellent and I recommended it highly to others.I was really ex,Negative,0.94,Performance Issue,0.303
"I read this book to a group of preschool children at storytime at our local Zoo. When I first read it to myself, I thoug",Positive,0.983,Performance Issue,0.214
Easy to put down and pick up again weeks later. Not enough stuff about other things going on other than what the main ch,Negative,0.982,Performance Issue,0.286
"Very attractive, solid and sturdy, materials are very well organized. Not the cheapest, but well worth it -- especially ",Positive,0.991,Product Quality Issue,0.372
I would have rated these as a 4 or 5 until they broke. It turns out the speaker assemblies are held to the headband by a,Negative,0.971,Customer Service Issue,0.329
I use the Linksys WRT150N Wireless N Router at home with my PS3 and 2 computers. I use the Linksys WUSB300N Wireless-N U,Positive,0.971,Delivery Problem,0.255
"I disagree that this book is a good introduction to sendmail. It does not cover the basic options well, and very quickly",Negative,0.798,Product Quality Issue,0.19
"I checked this book out of the library rather than buying it, thankfully. Virtually every pattern in this cheesy book is",Negative,0.979,Delivery Problem,0.326
"Having just seen Samsara, Baraka, and Koyaanasquatsi again I would say you can choose any of the others and get the expe",Negative,0.954,Product Quality Issue,0.368
This is an easy read and the devotions are easily applied to every day life. I use the app on my iPad for inspiration to,Positive,0.992,Delivery Problem,0.253
I needed a good plug that was a little shorter to keep the plug wires off the headers. They did just that and are a grea,Positive,0.989,Product Quality Issue,0.35
"This is a very comprehensive review of Four Tops ""cuts' what I simply can't understand is why none of these 'Hit Lists' ",Positive,0.989,Performance Issue,0.266
"i had such high hopes for this album, i really did. after hearing ""stupify"" and ""voices"" i was convinced that these guys",Negative,0.982,Performance Issue,0.302
"If you have the Baby Bargain book by Alan & Denise Fields, YOU REALLY DON'T NEED THIS BOOK. First, it's not as detail as",Negative,0.972,Delivery Problem,0.392
"THIS IS NOT ""ROYAL HERITAGE HOME BRAND"" THIS SET IS VERY THIN AND NOT EVEN WORTH THE DISCOUNTED PRICE. BEWARE OF ANYONE ",Negative,0.986,Pricing Issue,0.414
Bought this CD set for my wife for Christmas and we both enjoy falling to sleep to the sounds. No music. Just the sounds,Positive,0.983,Pricing Issue,0.278
"I am returning the Vol. I movie, Heidi, movie was terrible; movie jumped all over the place throughout the entire movie.",Negative,0.985,Product Quality Issue,0.265
"I first got tuned in and turned on to Jeff Beck with his ""Who Else?"" cd, which in my personal opinion is the best. But t",Positive,0.985,Product Quality Issue,0.35
This single isn't quite as fun as Crying At The Discoteque or Don't You Want Me. Whereas those other singles have better,Positive,0.986,Pricing Issue,0.367
"Deborah Bonham, sister of the late great John ""Bonzo"" Bonham of Led Zeppelin, stirs emotion and excitement in ""Old Hyde""",Positive,0.991,Performance Issue,0.324
"Steig got me started, Nesbo was next and now I have moved on to Karin Fossum. I find these 3 authors so much better than",Positive,0.982,Performance Issue,0.258
This is one of the greatest things to come along since sliced bread. It captures the essence of all that is evil in the ,Positive,0.988,Delivery Problem,0.346
"I just got them today. It does not cancel anything! It can't even cancel low noise of pc while working (ventilation, hd,",Negative,0.937,Performance Issue,0.379
This movie was nothing but rubbish - it went absolutely nowhere. It wasn't even funny - I hardly got a chuckle at most.I,Negative,0.976,Performance Issue,0.292
I ordered this movie from Amazon and it was greatly anticipated by my husband as a gift from me. He remembers it as a ve,Negative,0.939,Customer Service Issue,0.423
I nice boy meets boy wrestles with attraction and sexuality. The film is handled in a common German way. There small bit,Positive,0.735,Performance Issue,0.293
"To all citizens of America, this is a MUST read book. You need to see how this country was led by a man of character bec",Positive,0.991,Performance Issue,0.278
This book offers hope for those with chronic health problems. The book is very specific and detailed about what is and i,Positive,0.956,Performance Issue,0.214
i really needed one of these as i am home bound. Ity comes in handy for picking things up off the floor and getting some,Positive,0.983,Product Quality Issue,0.251
"I have been so let down by this book. I was hoping for so much more for ""C"". The romance just wasnt there. Just skip thi",Negative,0.986,Product Quality Issue,0.233
I was really feeling this album. I think that they have some good features and some great tracks as well. I'm really fee,Positive,0.987,Product Quality Issue,0.223
"DESPITE READING THE NEGATIVE REVIEWS, I BOUGHT IT ANYWAY. THE WEIGHT PART WAS OK, BUT I WAS VERY DISAPPOINTED WITH THE A",Negative,0.987,Performance Issue,0.34
Purchased this in Jan 2011. Am currently in my 4th week of the program and very impresseed thus far. I did read the revi,Positive,0.989,Product Quality Issue,0.31
"I didn't want a huge countertop knife block, or a 20-slot monster for the drawer, this one is perfect. Basic, well-made,",Positive,0.987,Product Quality Issue,0.401
"I would also like to take this opportunity to express my extreme disappointment in the phones I ordered. Unfortunately, ",Negative,0.985,Product Quality Issue,0.512
"My 3 yr. old son is a HUGE Blue's Clues fan so when I saw this, I picked it up for him. I'm sorry I did. I though it wou",Negative,0.984,Product Quality Issue,0.361
"Based on these reviews I thought to try a genre I'd not explored.Ohmy, never again. Suggestion: Critically read reviews;",Negative,0.978,Performance Issue,0.338
"No potential singles other than ""Throwback"", ""Burn"", and ""Yeah"". What the hell is he confessing on this album...... NOTH",Negative,0.873,Product Quality Issue,0.336
My husband lives these shows. You must understand their humor to enjoy it! We look forward to watching for years to come,Positive,0.991,Performance Issue,0.226
"thses guys rock, and the vocals are 2nd to..well maybe dio ,well worth the price of addmission!",Positive,0.988,Pricing Issue,0.511
"I ordered the ""2 CD Bonus Deluxe"" set as pictured on the amazon website.The software I received from a third party selle",Negative,0.983,Delivery Problem,0.285
"Enough with the drunk Indians, If they cannot learn to deal with the world as it is now, use productive work, discipline",Negative,0.942,Performance Issue,0.487
Super System II provides some great insights into playing poker.The book provides a great overview of a number of variat,Positive,0.992,Performance Issue,0.243
If you think i am buying these box sets think again. They are a COMPLETE waste of money. I am gonna wait for the complet,Negative,0.986,Pricing Issue,0.253
"We truly love the Canon PIXMA mini260 Photo Printer. The quality of the photos is sharper, clearer and has brighter colo",Negative,0.931,Product Quality Issue,0.355
The best learners are the ones who teach others what they learnd.Some times we learn things on the hard way.The smart pe,Positive,0.984,Performance Issue,0.435
"Harbor by Lorraine Adams is an impressive first novel, full of wit and suspense and technical skill. Adams engages the r",Positive,0.985,Performance Issue,0.219
"As a prospective first-time property purchaser, I found this book to contain some good information on the particulars of",Positive,0.794,Performance Issue,0.308
"Well, I was skeptical of this thing. Mostly, I wasn't sure if my cat would actually like it. She loves it. She just stre",Positive,0.982,Product Quality Issue,0.31
the glowing reviews for this and the rest of the godin series are false . this has 1 or 2 half-decent cuts and the rest ,Negative,0.976,Product Quality Issue,0.39
Given the number of Discoveries and Range Rover Classics in service and the arguably very high percentage of owners who ,Negative,0.982,Delivery Problem,0.275
"I bought this book based on a review in Scientific American. Though Mr. Tattersall's credentials are impressive, the boo",Negative,0.973,Pricing Issue,0.2
"The guitarist for Dregs is, very likely, the most versatile guitarist on two legs. There are other examples of individua",Positive,0.984,Delivery Problem,0.399
"Works great, Fun and good sounds. PA is not the best feature, But overall a deal for the price.",Positive,0.992,Performance Issue,0.509
Just having this one in your collection is great. Videos have certainly changed from the early days of Luther.,Positive,0.989,Battery Issue,0.19
This is the first book of Anne Perry's that ive read and i am sure it wont be the last. This book is fantastic. This boo,Positive,0.988,Product Quality Issue,0.343
Beware do not order any thing for this company . it is closed and person has got this item at a pawn shop and send it ou,Negative,0.979,Delivery Problem,0.377
"I rented this movie hoping for a fantasy look at the war between cats and dogs, but no, I didn't get that.What I did get",Negative,0.972,Product Quality Issue,0.246
The title of this book talks the talk but the pages don't walk the walk. It wasn't the entertaining read that i expected,Negative,0.984,Performance Issue,0.232
"I never thought I'd buy the original CD - but I did, and found it quite enjoyable.This Karaoke CD is not quite up to spe",Negative,0.98,Product Quality Issue,0.336
An interesting book that pleasantly reminded me of my visits to Sedona and the people I met there. But aside from its no,Negative,0.956,Product Quality Issue,0.263
"Since watching the dvd, I have used the techniques and have seen a vast improvement with my boys. I would recommend this",Positive,0.99,Product Quality Issue,0.271
"If you like cats, Sci-Fi, intrique, by-plays and an all-around well-told story, you'll love this story of Pyanfar Chanur",Positive,0.988,Performance Issue,0.331
"Overly preachy.The story was alright, but the Christian message was not subtle, and ended up being a complete turnoff.Am",Negative,0.98,Performance Issue,0.374
We are using this in the entry hall of our house near the intake for the furnace. It is very convenient to fill (2 conta,Negative,0.952,Product Quality Issue,0.238
"Entirely too much flapping of the gums and not enough substance. Postcard from the Caribbean is much better, and that's ",Negative,0.985,Product Quality Issue,0.229
"I just had to share my story and find it hilarious that everyone else's is the same. I was all set to make my first ""per",Negative,0.941,Performance Issue,0.353
"After many years of luke-warm curling irons, I finally stepped up to the plate and bought a ""professional"" curling iron.",Positive,0.986,Pricing Issue,0.489
"I know it sounds crazy, but after reading this book I felt like I knew Kung Fu when I was dealing with the Credit Bureau",Positive,0.985,Delivery Problem,0.255
The geology of the Denali area is a fascinating mix where uplift from plate techtonics meet sharp glacially cut peaks. M,Positive,0.829,Performance Issue,0.261
"I found this book after seeing the film, Gerry (loosely based on the Kodikian case).The first surprise upon reading this",Positive,0.939,Performance Issue,0.227
"While this book has good parts, they are completely countered by Pinker's theory that the humans are the exact OPPOSITE ",Positive,0.939,Performance Issue,0.214
"My 7 yr old daughter loves this. I had to take her to work with me for an 8 hr shift, she played with this for hours. I ",Positive,0.988,Product Quality Issue,0.275
I was given this book by a friend. I can only assume they thought it would amuse me. I have never read such poor writing,Negative,0.982,Performance Issue,0.261
"These are by far the longest, most boring, and overall possibly the worst movies ever.The Godfather part I comprises may",Negative,0.987,Performance Issue,0.271
I've done a lot of research on which protein powders are more effective and Syntha-6 is rated #2 on proteinpowder.net. I,Positive,0.986,Pricing Issue,0.452
"My teacher assigned us 2 books relating to the Holocaust to read, and I couldn't be happier that I got Milkweed.Milkweed",Positive,0.989,Product Quality Issue,0.252
"My dog could care less, but my 2 yr old siamese cat loves this dvd. He will wake up from a nap anywhere in the house and",Positive,0.99,Product Quality Issue,0.293
"I thought this was a very lucid and easy to read account of what XML is, what it's being used for, and why you might wan",Positive,0.973,Battery Issue,0.217
"I was very please with how well made these rings are. They were very cheap compared to everything else out there, so I w",Positive,0.952,Product Quality Issue,0.461
